"Timestamp","Class Name","What blocks is this class offered in?","How much Math is present in this class?","How much Research is present in this class?","How much Lab Work is present in this class?","How much Small Group Work is present in this class?","How much Whole Class Work is present in this class?","How much Independent Work is present in this class?","How much Reading is present in this class?","How much Writing is present in this class?","How much Design is present in this class?","How much Project Work is present in this class?","How many Tests are present in this class?","How many Quizzes are present in this class?","How much Computer Work is present in this class?","How much Physical and Biological Science is present in this class?","How much Art is present in this class?","How much Music is present in this class?","How much Technology is present in this class?","How much College Preparation is present in this class?","How much Computer Science is present in this class?"
"2025/05/15 08:55:01 AM EST","Mongolian Throat Singing","1,2","2","4","3","7","10","8","5","2","5","3","1","1","1","2","1","10","2","1","1"
"2025/05/15 08:56:18 AM EST","Mongolian History","2,5","1","7","2","4","2","8","8","7","3","4","3","3","4","2","2","1","1","1","1"
"2025/05/15 08:57:16 AM EST","Egyption-based Calculus","1","10","6","1","9","6","10","4","3","1","3","9","9","2","1","1","1","3","4","1"
"2025/05/15 08:58:33 AM EST","Egyption Hieroglyphics","2,3","1","6","1","3","2","10","4","3","7","8","4","5","6","1","10","1","1","1","1"
"2025/05/15 08:59:58 AM EST","Egyption Pyramid and Pharoah Design","4,5","1","6","1","5","3","8","2","2","10","8","3","1","3","1","7","1","3","1","1"
"2025/05/15 09:01:00 AM EST","Colombian Dog Training","1,3,5","1","9","7","5","3","10","8","3","1","4","2","2","1","8","1","1","2","1","1"
"2025/05/15 09:02:06 AM EST","Colombian Chemistry","2,4","4","7","8","8","6","7","4","2","2","3","7","7","2","6","1","1","1","1","1"
"2025/05/15 09:03:12 AM EST","Tibetan Wind Chime Theory","1,4","1","5","2","6","7","9","7","6","8","6","2","3","2","1","10","9","1","2","1"
"2025/05/15 09:04:23 AM EST","Quantum Tea Ceremony","2,5","7","8","5","7","8","6","4","5","7","9","7","6","3","1","3","4","7","6","5"
"2025/05/15 09:05:37 AM EST","Modern Robotics","3,4","8","6","9","6","5","7","6","5","7","8","9","8","10","6","2","3","10","7","10"
"2025/05/15 09:06:45 AM EST","Urban Gardening","2,5","3","7","6","5","7","8","7","6","5","6","5","4","3","9","6","1","5","4","2"
"2025/05/15 09:07:52 AM EST","Classical Ballet","1,3","1","3","2","8","7","8","4","3","8","7","2","3","1","10","9","8","1","3","1"
"2025/05/15 09:09:03 AM EST","Digital Animation","4,5","4","5","2","7","6","6","5","4","10","8","4","5","9","2","9","6","10","5","7"
"2025/05/15 09:10:15 AM EST","Ancient Mythology","3,4","1","8","1","6","7","7","9","9","5","6","3","4","2","1","6","2","1","5","1"
